timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103376728,378,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,378,0,0
1667103377106,927,Request1-1,200,OK,Thread Group 1-3,text,true,,17451,119,10,10,https://www.google.com/,905,0,0
1667103377615,942,Request1,200,OK,Thread Group 1-9,text,true,,18188,234,10,10,https://www.google.com/,383,0,0
1667103377615,383,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,383,0,0
1667103377998,559,Request1-1,200,OK,Thread Group 1-9,text,true,,17485,119,10,10,https://www.google.com/,544,0,0
1667103377507,1090,Request1,200,OK,Thread Group 1-10,text,true,,18195,234,10,10,https://www.google.com/,490,0,0
1667103377507,490,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,490,0,0
1667103377997,600,Request1-1,200,OK,Thread Group 1-10,text,true,,17492,119,10,10,https://www.google.com/,585,0,0
1667103376920,1714,Request1,200,OK,Thread Group 1-2,text,true,,18197,234,10,10,https://www.google.com/,1159,0,0
1667103376920,1159,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,1159,0,0
1667103378079,555,Request1-1,200,OK,Thread Group 1-2,text,true,,17494,119,10,10,https://www.google.com/,543,0,0
1667103377757,994,Request1,200,OK,Thread Group 1-7,text,true,,18228,234,10,10,https://www.google.com/,435,0,0
1667103377757,435,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,435,0,0
1667103378192,559,Request1-1,200,OK,Thread Group 1-7,text,true,,17525,119,10,10,https://www.google.com/,548,0,0
1667103377694,1258,Request1,200,OK,Thread Group 1-8,text,true,,18220,234,10,10,https://www.google.com/,696,0,0
1667103377694,696,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,696,0,0
1667103378390,562,Request1-1,200,OK,Thread Group 1-8,text,true,,17517,119,10,10,https://www.google.com/,549,0,0
1667103377441,1615,Request1,200,OK,Thread Group 1-1,text,true,,18154,234,10,10,https://www.google.com/,1059,0,0
1667103377441,1059,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,1059,0,0
1667103378500,556,Request1-1,200,OK,Thread Group 1-1,text,true,,17451,119,10,10,https://www.google.com/,549,0,0
1667103377311,1857,Request1,200,OK,Thread Group 1-6,text,true,,18185,234,10,10,https://www.google.com/,1333,0,0
1667103377311,1333,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,1333,0,0
1667103378644,524,Request1-1,200,OK,Thread Group 1-6,text,true,,17482,119,10,10,https://www.google.com/,514,0,0
1667103378037,1439,Request1,200,OK,Thread Group 1-3,text,true,,18162,234,10,10,https://www.google.com/,918,0,0
1667103378011,1371,Request1,200,OK,Thread Group 1-5,text,true,,18153,234,10,10,https://www.google.com/,751,0,0
1667103378037,918,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,918,0,0
1667103378011,751,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,751,0,0
1667103378762,620,Request1-1,200,OK,Thread Group 1-5,text,true,,17450,119,10,10,https://www.google.com/,610,0,0
1667103378955,521,Request1-1,200,OK,Thread Group 1-3,text,true,,17459,119,10,10,https://www.google.com/,508,0,0
1667103378634,1055,Request1,200,OK,Thread Group 1-2,text,true,,18178,234,10,10,https://www.google.com/,495,0,0
1667103378634,495,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,495,0,0
1667103379130,559,Request1-1,200,OK,Thread Group 1-2,text,true,,17475,119,10,10,https://www.google.com/,548,0,0
